ServerName,FieldName,CurrentValue,ProposedValue
(unknown),System,,Azure Analytics
(unknown),Purpose,,Azure Domain Controller
(unknown),Supportgroup,,MMIS Support Data Warehouse Azure
ag03ndcui00114,System,,SFTP
ag03ndcui00114,Purpose,,LDOM/Zone
ag03ndcui00114,Supportgroup,,Legacy SFTP SW ADMIN
ag03ndcwt70022,System,,InterChange
ag03ndcwt70022,Purpose,,TennCare Interchange XenApp
ag03ndcwt70022,Supportgroup,,INTERCHANGE SW ADMIN
ag03ndcwt70023,System,,InterChange
ag03ndcwt70023,Purpose,,TennCare Interchange XenApp
ag03ndcwt70023,Supportgroup,,INTERCHANGE SW ADMIN
ag03ndcwt70024,System,,InterChange
ag03ndcwt70024,Purpose,,TennCare Interchange XenApp
ag03ndcwt70024,Supportgroup,,INTERCHANGE SW ADMIN
ag03ndcwt70025,System,,InterChange
ag03ndcwt70025,Purpose,,TennCare Interchange XenApp
ag03ndcwt70025,Supportgroup,,INTERCHANGE SW ADMIN
ag03ndcwt70026,System,,InterChange
ag03ndcwt70026,Purpose,,TennCare Interchange XenApp
ag03ndcwt70026,Supportgroup,,INTERCHANGE SW ADMIN
ag03sdcui00104,System,,SFTP
ag03sdcui00104,Purpose,,"LDOM/Zone

Per INC0561804 - This server was retired since it was retired by STS in 2021. Retired manually."
ag03sdcui00104,Supportgroup,,Legacy SFTP SW ADMIN
ag03sdcwt00006,System,,InterChange
ag03sdcwt00006,Purpose,,Citrix XenApp Server
ag03sdcwt00006,Supportgroup,,TennCare Technical Service Desk
ag03sdcwt70019,System,,EOG
ag03sdcwt70019,Purpose,,Citrix Virtual Apps
ag03sdcwt70019,Supportgroup,,EOG SW ADMIN
ag03sdcwt70020,System,,EOG
ag03sdcwt70020,Purpose,,Citrix Virtual Apps
ag03sdcwt70020,Supportgroup,,EOG SW ADMIN
ag03sdcwt70021,System,,EOG
ag03sdcwt70021,Purpose,,Citrix Virtual Apps
ag03sdcwt70021,Supportgroup,,EOG SW ADMIN
ag03sdcwt70022,System,,InterChange
ag03sdcwt70022,Purpose,,TennCare Interchange XenApp
ag03sdcwt70022,Supportgroup,,INTERCHANGE SW ADMIN
ag03sdcwt70023,System,,InterChange
ag03sdcwt70023,Purpose,,TennCare Interchange XenApp
ag03sdcwt70023,Supportgroup,,INTERCHANGE SW ADMIN
ag03sdcwt70024,System,,InterChange
ag03sdcwt70024,Purpose,,TennCare Interchange XenApp
ag03sdcwt70024,Supportgroup,,INTERCHANGE SW ADMIN
ag03sdcwt70025,System,,InterChange
ag03sdcwt70025,Purpose,,TennCare Interchange XenApp
ag03sdcwt70025,Supportgroup,,INTERCHANGE SW ADMIN
ag03sdcwt70026,System,,InterChange
ag03sdcwt70026,Purpose,,TennCare Interchange XenApp
ag03sdcwt70026,Supportgroup,,INTERCHANGE SW ADMIN
ag03sdcwt80012,System,,EOG Citrix
ag03sdcwt80012,Purpose,,Citrix Virtual Apps
ag03sdcwt80012,Supportgroup,,MMIS Support Backend Apps EOG
ag03sdcwt80013,System,,EOG Citrix
ag03sdcwt80013,Purpose,,Citrix Virtual Apps
ag03sdcwt80013,Supportgroup,,MMIS Support Backend Apps EOG
ag03sdcwt80014,System,,EOG Citrix
ag03sdcwt80014,Purpose,,Citrix Virtual Apps
ag03sdcwt80014,Supportgroup,,MMIS Support Backend Apps EOG
ah5719006ub003,System,,Interchange
ah5719006ub003,Purpose,,Oracle DR dbs - tnhisp1 and tnmisp1
ah5719006ub003,Supportgroup,,ORACLE DB ADMIN DXC
ah5719006ub005,System,,InterChange
ah5719006ub005,Purpose,,Oracle Financial
ah5719006ub005,Supportgroup,,UNIX OS ADMIN
AH5719006UB007,System,,Interchange
AH5719006UB007,Purpose,,Created Temp for Decom.
AH5719006UB007,Supportgroup,,Unix Admin
ah57c00la04001,System,,Azure Analytics
